Id,YearBuilt,YearRemodAdd,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,MoSold,YrSold
114,1953,1953,1,0,2,0,3,1,7,2,1953,2,10,2007
115,1945,2002,1,0,2,1,3,1,9,1,1945,1,7,2007
116,1999,1999,0,0,2,1,2,1,5,1,1999,2,6,2007
117,1962,1962,0,1,1,0,3,1,6,1,1962,1,9,2009
118,2006,2007,0,0,1,1,2,1,5,0,2007,2,4,2007
119,1990,1990,1,0,3,0,5,1,11,2,1990,3,5,2010
120,2005,2006,0,0,2,1,3,1,8,1,2005,2,7,2006
121,1969,1969,1,0,1,0,1,1,4,2,1969,2,10,2006
122,1939,1950,0,0,1,0,3,1,4,0,1979,1,6,2007
123,1958,1958,0,0,1,0,3,1,5,0,1958,1,6,2008
124,1993,1993,0,0,2,0,2,1,5,0,1993,2,3,2008
125,1979,1998,0,0,2,0,3,1,7,1,1979,2,1,2009
126,1935,1982,1,0,1,0,2,1,5,0,NA,0,6,2006
127,1976,1976,0,0,2,0,2,1,5,1,1977,2,2,2007
128,1930,1950,0,0,1,0,3,1,5,1,NA,0,6,2007
129,1966,1966,0,0,1,1,3,1,6,1,1966,2,7,2006
130,1958,1991,0,1,1,1,3,1,6,0,1998,2,7,2006
131,1966,1966,0,0,2,1,4,1,8,2,1966,2,5,2006
132,2000,2000,1,0,2,1,3,1,7,1,2000,2,7,2009
133,1959,2002,1,0,1,0,3,1,7,0,1974,2,7,2007
134,2001,2002,1,0,2,0,2,1,6,0,2001,2,6,2009
135,1968,1993,0,0,2,1,3,1,7,1,1968,2,7,2006
136,1970,1970,0,0,2,0,3,1,7,1,1970,2,5,2008
137,1967,1967,0,0,2,0,3,1,5,1,1967,1,7,2007
138,1988,1989,0,0,3,0,5,2,9,0,1989,3,7,2006
139,1999,2000,0,0,2,1,3,1,7,2,1999,3,12,2008
140,1997,1997,1,0,2,1,3,1,7,0,1997,2,8,2009
141,1971,1971,0,0,1,0,3,1,5,1,NA,0,4,2010
142,2005,2005,1,0,2,0,3,1,7,0,2005,2,1,2006
143,1952,1952,0,0,2,0,4,1,6,0,2000,2,6,2010
144,1999,1999,1,0,2,0,3,1,6,0,1999,2,6,2009
145,1963,1963,1,0,2,0,6,2,10,0,1963,2,11,2006
146,2004,2006,0,0,2,0,3,1,7,0,2004,2,4,2006
147,1931,1993,1,0,1,0,2,1,5,0,1931,1,11,2009
148,2001,2001,0,0,2,1,3,1,8,1,2001,2,5,2010
149,2004,2005,1,0,1,0,3,1,6,0,NA,0,4,2008
150,1936,1950,0,0,1,0,3,1,7,0,1936,1,4,2006
151,1975,1975,0,0,1,1,3,1,5,0,1975,2,1,2007
152,2007,2008,1,0,2,0,2,1,6,1,2007,3,1,2008
153,1971,1971,0,0,2,1,4,1,8,1,1971,2,6,2006
154,1960,1975,1,0,1,0,1,1,4,1,1960,2,3,2008
155,1923,1950,0,0,1,0,4,1,7,0,1923,1,3,2006
156,1924,1950,0,0,1,0,2,1,5,0,NA,0,4,2008
157,1950,1950,0,0,1,0,2,1,5,0,1950,2,6,2006
158,2009,2010,0,0,2,1,4,1,8,1,2009,3,5,2010
159,2004,2005,0,0,2,1,3,1,8,1,2004,2,5,2010
160,2005,2006,1,0,2,1,4,1,9,1,2006,2,3,2006
161,1984,1984,0,0,2,0,3,1,6,0,1984,2,6,2008
162,2003,2004,1,0,2,1,3,1,10,2,2003,3,3,2008
163,2005,2005,0,0,2,0,3,1,7,1,2005,2,5,2010
164,1956,1956,0,0,1,0,1,1,4,0,NA,0,4,2007
165,1926,2004,0,0,2,0,3,1,5,0,1926,1,10,2007
166,1940,1999,1,0,2,0,4,2,6,0,NA,0,9,2008
167,1955,1993,1,0,1,0,2,1,7,3,1955,1,11,2009
168,2007,2007,1,0,1,1,3,1,8,1,2007,3,11,2007
169,2004,2004,0,0,2,1,3,1,7,1,2004,2,5,2007
170,1981,1981,0,0,2,1,2,1,6,1,1981,2,1,2006
171,1941,1950,0,0,1,1,2,1,7,0,1991,2,5,2007
172,1960,1960,1,0,1,0,3,1,7,2,1960,2,5,2010
173,1987,1987,1,0,2,0,2,1,5,1,1987,2,6,2006
174,1961,1961,1,0,1,1,3,1,6,1,1961,2,6,2008
175,1986,1986,1,0,2,0,3,1,7,1,1986,2,11,2008
176,1950,2001,1,0,2,0,4,1,7,1,1950,2,6,2007
177,1988,1989,0,1,2,1,4,1,8,1,1988,2,9,2007
178,1958,1958,1,0,2,0,4,1,8,1,1958,2,7,2006
179,2008,2009,1,0,2,0,1,1,9,1,2009,3,7,2009
180,1923,2006,0,0,1,0,2,1,5,0,1935,2,7,2007
181,2000,2000,0,0,2,1,3,1,5,1,2000,2,6,2007
182,1920,1950,0,0,1,1,4,1,9,1,1920,1,7,2006
183,1957,2006,0,0,1,0,3,1,7,1,1957,1,6,2007
184,2003,2003,0,0,2,1,3,1,6,0,2003,2,6,2008
185,1908,1991,0,0,1,0,3,1,5,0,1986,2,6,2006
186,1892,1993,0,0,2,1,4,1,12,2,1993,3,6,2006
187,1990,1991,1,0,2,0,3,1,6,0,1990,2,6,2009
188,1916,1987,0,0,2,1,3,1,8,0,1916,1,8,2009
189,1979,1979,2,0,0,2,2,2,6,2,1979,2,6,2009
190,2001,2002,1,0,1,1,0,1,5,1,2001,2,8,2008
191,1932,1994,0,0,2,1,3,1,10,2,1932,2,12,2007
192,1972,2004,1,0,1,1,4,1,7,0,1972,2,6,2007
193,1999,1999,1,0,2,0,3,1,6,0,1999,2,9,2009
194,2004,2004,0,0,2,0,3,1,7,0,2004,2,5,2006
195,1972,1972,0,0,1,0,3,1,5,0,1989,1,5,2008
196,1976,1976,0,0,2,1,3,1,7,1,1976,2,7,2009
197,2007,2007,1,0,2,0,3,1,8,1,2007,3,9,2007
198,1918,1990,1,1,2,0,4,1,8,1,1918,2,3,2006
199,1912,1950,0,0,1,0,5,1,8,0,NA,0,7,2009
200,2004,2005,1,0,2,0,3,1,7,1,2004,3,1,2009
201,2003,2004,0,0,2,0,2,1,5,0,2003,2,3,2010
202,1977,1977,0,1,2,0,3,1,6,2,1980,2,2,2008
203,1924,1950,0,0,2,0,2,1,6,0,1924,1,5,2006
204,2004,2004,1,0,1,0,1,1,3,1,2004,2,1,2008
205,1947,1950,0,0,1,1,2,1,5,0,1948,1,4,2009
206,1990,1990,0,0,2,0,3,1,5,0,1990,2,5,2009
207,1962,1962,0,0,1,1,3,1,8,1,1962,1,3,2007
208,1960,1960,1,0,1,0,3,1,6,1,1960,1,4,2008
209,1988,1989,1,0,2,1,3,1,7,1,1988,2,4,2007
210,1964,1964,1,0,1,0,3,1,6,0,1964,2,7,2008
211,1925,1950,1,0,1,0,2,1,5,0,NA,0,4,2008
212,2009,2009,0,0,2,0,3,1,6,0,2009,2,3,2010
213,2009,2009,1,0,2,1,3,1,7,1,2009,2,7,2009
214,1995,1995,0,1,1,0,3,1,5,0,1996,2,7,2006
215,1977,1977,0,0,1,1,3,1,6,0,1977,1,3,2010
216,1957,1996,0,1,1,0,2,1,6,1,1957,1,5,2006
217,2004,2004,1,0,2,0,3,1,8,0,2004,2,4,2008
218,1925,1950,0,0,1,0,3,1,8,0,1940,1,9,2006
219,1939,2006,0,1,1,1,3,1,8,2,1939,2,5,2008
220,2005,2006,0,0,2,0,2,1,5,0,2005,2,3,2006
221,2006,2006,0,0,2,0,2,1,5,0,2006,2,4,2006
222,2002,2002,0,0,2,1,4,1,8,1,2002,2,12,2009
223,1975,1975,1,0,2,1,3,1,6,1,1975,2,2,2006
224,1971,1971,0,0,1,0,2,1,4,0,1989,2,3,2009
225,2003,2003,0,0,2,0,3,1,8,1,2003,3,6,2009
226,1971,1971,0,0,2,1,3,1,6,0,1991,1,5,2009
227,1995,1995,0,0,2,1,4,1,9,1,1995,3,6,2007
228,1970,1970,0,0,1,1,2,1,5,0,1987,1,9,2008
229,1967,1967,0,0,1,0,3,1,5,1,1974,1,5,2010
230,2005,2006,0,0,2,0,2,1,7,1,2005,2,5,2009
231,1959,1959,1,0,1,0,3,1,6,0,1959,1,4,2010
232,1995,1996,1,0,2,1,4,1,9,1,1995,3,7,2009
233,1972,1972,0,0,1,1,2,1,5,1,1972,1,6,2006
234,1976,1976,1,0,1,0,3,1,5,0,1976,1,2,2010
235,2002,2002,1,0,2,1,4,1,8,2,2002,2,5,2010
236,1971,1971,0,0,1,1,2,1,5,0,1971,1,8,2008
237,2004,2004,0,0,2,0,3,1,6,0,2004,2,5,2010
238,1993,2003,0,0,2,1,3,1,7,0,1993,2,2,2010
239,2007,2007,0,0,2,0,3,1,7,0,2007,3,12,2007
240,1945,1950,0,0,1,1,3,1,7,1,1949,1,4,2010
241,2008,2008,1,0,2,0,3,1,7,0,2008,2,4,2010
242,1945,1997,0,0,1,0,2,1,4,0,NA,0,8,2007
243,1900,1950,0,0,1,0,3,1,6,0,1940,1,4,2006
244,1980,1980,0,0,1,1,3,1,6,1,1980,1,4,2009
245,1994,2002,1,0,2,1,3,1,8,2,1994,2,5,2010
246,1988,1988,0,1,2,0,3,1,6,1,1988,2,6,2006
247,1910,1950,0,0,2,0,4,2,9,0,1910,1,4,2006
248,1954,1954,0,0,1,0,2,1,5,1,1954,2,6,2006
249,2003,2003,0,0,2,1,3,1,8,0,2003,2,9,2007
250,1958,2006,0,1,2,0,4,1,7,2,1958,2,6,2007
251,1940,1966,0,0,1,0,3,1,6,0,NA,0,5,2010
252,2006,2007,1,1,2,0,2,1,5,1,2006,2,12,2007
253,2004,2004,0,0,2,1,3,1,6,0,2004,2,12,2008
254,1964,1991,0,1,2,0,3,1,7,0,1964,1,10,2007
255,1957,1957,1,0,1,0,3,1,5,0,1957,1,6,2010
256,1999,1999,0,0,2,1,4,1,8,1,1999,2,2,2006
257,2003,2003,0,0,2,1,3,1,7,0,2003,2,5,2008
258,2006,2006,1,0,2,1,3,1,8,1,2006,2,3,2009
259,2001,2001,0,0,2,1,3,1,7,1,2001,2,5,2008
260,1956,1956,0,0,1,0,2,1,4,0,1956,1,12,2008
261,1962,1962,1,0,1,0,3,1,6,1,1991,2,5,2009
262,2007,2007,0,0,2,1,3,1,10,1,2007,3,11,2007
263,1977,1995,1,0,1,0,3,1,6,1,1978,2,7,2006
264,1929,2001,1,0,1,0,3,1,6,0,1974,2,4,2010
265,1925,2004,0,0,1,0,2,1,4,0,1965,2,6,2008
266,1981,1981,0,0,2,0,3,1,7,1,1981,2,6,2008
267,1997,1997,1,0,2,1,3,1,8,1,1997,2,6,2006
268,1939,1997,0,0,2,1,4,1,8,1,1939,1,7,2008
269,1940,1955,0,0,1,0,2,1,4,1,1966,1,2,2008
270,1976,1976,1,0,1,1,3,1,6,1,1987,1,5,2007
271,2006,2006,0,0,2,1,3,1,8,1,2006,3,8,2006
272,1954,2005,1,0,1,0,2,1,5,2,1954,2,4,2008
273,1999,2007,0,0,2,1,4,1,9,1,1999,3,4,2010
274,1958,1988,1,0,2,0,3,1,6,1,1958,1,4,2009
275,1982,1982,0,0,1,0,2,1,5,0,1982,1,6,2007
276,1925,2007,0,0,2,1,3,1,5,0,1978,2,10,2009
277,2003,2003,0,0,2,0,3,1,7,0,2003,2,4,2010
278,1951,1951,0,0,1,0,2,1,4,0,1951,2,6,2010
279,2006,2007,0,0,2,1,3,1,8,1,2007,3,5,2007
280,1977,1977,0,0,2,1,4,1,8,1,1977,2,3,2008
281,1989,1989,0,0,2,1,3,1,7,1,1989,2,1,2007
282,2006,2006,0,0,2,0,2,1,5,0,2006,2,5,2006
283,2007,2008,1,0,2,0,2,1,6,1,2008,2,4,2009
284,2008,2009,0,0,2,0,3,1,6,1,2008,3,12,2009
285,1992,1992,1,0,2,0,2,1,5,0,1992,2,7,2007
286,2006,2007,0,0,2,1,2,1,5,0,2006,2,6,2007
287,1962,1981,0,0,1,1,3,1,7,1,1962,2,6,2006
288,1971,1971,0,0,1,0,3,1,5,0,NA,0,6,2006
289,1967,1967,0,0,1,0,3,1,5,0,1970,1,2,2010
290,1915,2003,0,0,1,0,3,1,7,0,2003,1,7,2007
291,2006,2006,0,0,2,1,3,1,8,1,2006,2,7,2006
292,1912,2000,1,0,2,0,6,1,9,0,NA,0,3,2008
293,1949,2008,0,0,1,1,3,1,8,1,1949,1,1,2009
294,1977,1994,1,0,2,1,3,1,9,1,1977,2,3,2006
295,1953,1953,1,0,1,0,3,1,7,2,1953,2,10,2009
296,1984,1984,1,0,1,0,3,1,6,0,1984,2,3,2006
297,1950,1950,0,0,1,1,4,1,6,0,1950,1,6,2007
298,1997,1998,0,0,2,1,3,1,7,1,1997,2,6,2007
299,1968,1968,0,1,1,2,3,1,7,1,1968,2,6,2007
300,1950,2004,0,1,1,0,3,1,6,1,1950,1,8,2009
301,1953,1953,1,0,1,0,2,1,5,2,1953,1,6,2006
302,1998,1999,0,0,2,1,4,1,9,1,1998,2,5,2007
303,2001,2002,0,0,2,0,3,1,6,1,2001,3,1,2006
304,1972,1972,1,0,1,0,3,1,5,0,1975,2,7,2006
305,1880,2002,0,0,3,0,3,1,10,1,2003,3,5,2008
306,2004,2005,1,0,2,0,3,1,8,0,2004,3,7,2007
307,1990,1991,1,0,2,1,4,1,8,1,1990,3,6,2007
308,1920,1950,0,0,1,0,3,1,6,0,NA,0,3,2008
309,1940,1950,0,0,1,0,1,1,4,0,1961,2,3,2009
310,2003,2004,1,0,2,0,3,1,8,3,2003,3,11,2006
311,1993,1994,0,0,2,1,3,1,6,1,1993,2,5,2006
312,1948,2002,1,0,1,0,2,1,5,1,1948,1,5,2009
313,1939,1950,1,0,1,0,3,1,5,1,1939,2,5,2006
314,1965,1965,2,0,2,0,3,1,8,2,1965,2,6,2009
315,1925,1990,0,1,1,1,3,1,6,1,1925,2,8,2006
316,2004,2005,1,0,2,1,3,1,6,1,2004,2,7,2009
317,1980,1980,1,0,2,1,4,1,10,1,1983,2,8,2009
318,2006,2006,0,0,2,1,3,1,8,1,2006,3,12,2007
319,1993,1993,1,0,2,1,4,1,9,1,1993,3,4,2009
320,1980,1980,1,0,2,0,3,1,6,2,1980,2,6,2009
321,2006,2006,0,0,3,1,4,1,9,0,2006,3,9,2006
322,2004,2004,1,0,2,1,4,1,10,1,2004,3,6,2007
323,1986,1987,1,0,2,1,4,1,8,1,1987,2,8,2007
324,1955,2005,1,0,1,0,3,1,6,0,1955,1,7,2006
325,1967,2007,0,0,2,1,5,1,11,1,1961,2,6,2010
326,1941,1950,0,0,1,0,2,1,5,0,1941,2,12,2007
327,1993,1993,2,0,1,1,1,1,6,2,1993,2,5,2008
328,1960,1960,0,0,1,1,3,1,7,0,1960,1,4,2006
329,1916,1994,0,0,2,0,5,1,10,0,1930,2,7,2009
330,1920,1950,0,0,1,0,3,1,6,0,1920,1,7,2009
331,1964,1964,0,1,2,0,6,2,10,0,2002,1,11,2007
332,1958,1992,1,0,1,0,3,1,6,0,1958,1,8,2007
333,2003,2004,1,0,2,0,3,1,7,1,2003,3,10,2009
334,2004,2004,1,0,2,0,2,1,6,1,2004,2,7,2008
335,1998,1998,1,0,2,1,3,1,7,2,1998,2,7,2008
336,1965,1965,2,0,2,0,3,1,7,2,1965,2,8,2008
337,2005,2006,1,0,2,0,3,1,8,1,2005,3,7,2007
338,2002,2003,1,0,2,0,3,1,7,0,2002,2,12,2008
339,1984,1998,1,0,2,0,3,1,8,0,1984,2,5,2006
340,1958,1998,0,0,1,0,3,1,6,0,1958,1,6,2009
341,2002,2002,0,0,2,1,4,1,9,0,2002,2,4,2010
342,1950,1950,0,0,1,0,2,1,4,0,1950,1,9,2009
343,1949,1950,0,0,2,0,2,2,6,0,1949,2,5,2006
344,2005,2005,0,0,2,0,2,1,6,1,2005,2,7,2008
345,1976,1976,0,0,1,1,3,1,4,0,1976,1,4,2010
346,1939,1950,0,0,1,0,3,1,6,1,1939,1,10,2006
347,1960,1998,0,0,1,0,2,1,5,0,1960,1,4,2007
348,1960,1960,1,0,2,0,3,1,6,2,1960,2,12,2009
349,2003,2004,1,0,2,1,2,1,6,0,2003,2,10,2008
350,2005,2006,1,0,2,1,4,1,10,2,2006,3,4,2006
351,2007,2007,0,0,2,0,2,1,6,1,2007,2,12,2007
352,1986,1986,1,0,1,1,2,1,6,1,1986,2,12,2006
353,1941,1950,0,1,1,0,3,1,5,0,1941,1,3,2008
354,1928,2003,0,0,1,0,2,1,5,0,2005,2,5,2010
355,1940,2000,0,0,1,0,2,1,6,2,1940,1,6,2006
356,1995,1995,1,0,2,0,3,1,6,0,1995,2,8,2007
357,1992,1992,1,0,2,0,3,1,6,0,1992,2,7,2009
358,1976,1976,1,0,1,1,3,1,6,1,1976,2,8,2007
359,1958,1958,0,1,1,0,3,1,6,0,1958,1,7,2006
360,1998,1998,1,0,2,1,3,1,7,1,1998,2,6,2006
361,1978,1978,1,0,1,0,2,1,5,1,1978,2,6,2007
362,1940,1982,1,0,1,0,3,1,8,0,1940,1,7,2008
363,2003,2003,0,0,3,0,4,1,7,1,2003,2,7,2009
364,1972,2007,0,0,1,1,2,1,5,0,1972,1,5,2009
365,1976,1976,1,0,2,1,3,1,6,1,1976,2,7,2006
366,1920,1997,0,0,1,0,3,1,6,0,1964,1,7,2009
367,1963,1963,1,0,1,1,3,1,6,2,1963,2,7,2009
368,1962,1962,0,1,1,0,3,1,6,1,1962,1,12,2008
369,1954,1954,0,0,1,0,2,1,7,1,1954,1,3,2010
370,1959,2006,1,0,1,0,3,1,7,1,1997,2,3,2010
371,2000,2000,0,0,2,1,3,1,7,1,2000,2,1,2006
372,1959,1959,0,0,2,0,4,1,7,1,1991,2,7,2008
373,1984,1984,1,0,1,0,2,1,4,0,1984,1,2,2010
374,1953,1953,1,0,1,0,3,1,5,0,1953,1,11,2009
375,2003,2004,0,0,2,1,4,1,8,1,2003,2,7,2007
376,1922,1950,1,0,0,1,1,1,4,0,NA,0,3,2009
377,1996,1996,0,0,1,0,2,1,5,0,1998,2,7,2006
378,2004,2005,0,0,3,0,4,1,8,1,2004,2,12,2007
379,2010,2010,1,0,1,1,1,1,8,1,2010,3,6,2010
380,2000,2000,0,0,2,1,3,1,7,1,2000,2,6,2009
381,1924,1950,0,0,2,0,3,1,6,1,1924,1,5,2010
382,2006,2006,1,0,2,0,2,1,5,1,2006,2,8,2006
383,2006,2006,0,0,2,1,3,1,8,0,2006,2,4,2007
384,1928,1950,0,0,1,0,2,1,5,0,1950,2,10,2009
385,1992,1992,1,0,2,1,3,1,9,2,1992,2,6,2007
386,2004,2005,0,0,2,0,2,1,6,1,2004,2,4,2010
387,1910,1996,0,0,1,0,5,1,8,0,NA,0,5,2006
388,1976,1976,1,0,1,0,3,1,6,1,1977,1,10,2009
389,1999,2000,0,0,2,0,3,1,6,0,1999,2,7,2008
390,2007,2008,1,0,2,1,3,1,9,1,2008,3,8,2008
391,1900,1950,1,0,1,0,4,1,7,0,1978,1,4,2008
392,2001,2002,1,0,2,1,3,1,7,1,2001,2,6,2009
393,1959,1959,0,0,1,0,3,1,5,0,1959,1,7,2007
394,1941,1950,0,0,1,0,2,1,4,2,NA,0,4,2006
395,1940,1950,0,0,1,0,2,1,5,0,1940,1,7,2007
396,1956,1956,1,0,1,0,3,1,6,0,1956,1,6,2010
397,1972,1972,0,0,1,0,2,1,6,0,1985,2,9,2009
398,1962,1962,0,0,2,0,4,1,8,1,1962,1,7,2007
399,1920,1950,0,0,1,0,2,1,6,0,1920,1,11,2007
400,2006,2007,1,0,2,0,2,1,7,0,2007,2,10,2009
401,1996,1996,1,0,1,1,1,1,4,2,1996,2,12,2008
402,2005,2005,0,0,2,0,3,1,6,1,2005,2,7,2006
403,1940,1997,0,0,1,0,2,1,4,0,1940,1,8,2008
404,1998,1998,0,0,2,1,4,1,10,1,1998,2,7,2006
405,1995,1996,0,0,2,1,3,1,7,1,1995,2,5,2007
